CLASS	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|
CLS5A	|	SJB004	SJB009	SJB009	SJB0012	SJB001	|	SJB0022	SJB0022	SJB009	SJB0013	SJB0019	|	SJB0011	SJB004	SJB001	SJB001	SJB0010	|	SJB002	SJB004	SJB0011	SJB0019	SJB002	|	SJB0022	SJB0010	SJB0010	SJB002	SJB0018	|	SJB0018	SJB0010	SJB0010	SJB0013	SJB001	|
CLS5B	|	SJB004	SJB0012	SJB0018	SJB0018	SJB0013	|	SJB0013	SJB001	SJB001	SJB0019	SJB0019	|	SJB002	SJB002	SJB004	SJB004	SJB001	|	SJB0010	SJB0010	SJB001	SJB0011	SJB0011	|	SJB0010	SJB009	SJB009	SJB0021	SJB0021	|	SJB0022	SJB009	SJB002	SJB0013	SJB0022	|
CLS5C	|	SJB009	SJB0011	SJB0011	SJB0019	SJB0013	|	SJB0010	SJB0010	SJB002	SJB002	SJB009	|	SJB0010	SJB0010	SJB0022	SJB0022	SJB004	|	SJB0019	SJB0010	SJB004	SJB0012	SJB001	|	SJB004	SJB0018	SJB001	SJB009	SJB0022	|	SJB0018	SJB0013	SJB001	SJB001	SJB002	|
CLS5D	|	SJB009	SJB009	SJB0010	SJB0010	SJB004	|	SJB0020	SJB0018	SJB0011	SJB0010	SJB0020	|	SJB0020	SJB0018	SJB001	SJB001	SJB0010	|	SJB004	SJB0012	SJB0019	SJB0019	SJB0011	|	SJB0010	SJB002	SJB001	SJB004	SJB0019	|	SJB0010	SJB009	SJB001	SJB002	SJB002	|
CLS5E	|	SJB008	SJB008	SJB0020	SJB0010	SJB0010	|	SJB008	SJB008	SJB0018	SJB0018	SJB0012	|	SJB0010	SJB001	SJB001	SJB0010	SJB0010	|	SJB001	SJB0020	SJB009	SJB004	SJB004	|	SJB008	SJB009	SJB0019	SJB0019	SJB0010	|	SJB001	SJB0011	SJB009	SJB004	SJB0011	|
CLS5F	|	SJB009	SJB009	SJB008	SJB008	SJB004	|	SJB0018	SJB0018	SJB001	SJB0011	SJB0010	|	SJB0010	SJB0019	SJB0019	SJB001	SJB001	|	SJB004	SJB009	SJB008	SJB008	SJB0020	|	SJB0011	SJB0010	SJB0010	SJB008	SJB0020	|	SJB004	SJB001	SJB0012	SJB0010	SJB0010	|
CLS5G	|	SJB0011	SJB002	SJB0013	SJB0013	SJB004	|	SJB004	SJB003	SJB003	SJB009	SJB009	|	SJB0016	SJB0011	SJB001	SJB001	SJB0014	|	SJB0014	SJB002	SJB002	SJB004	SJB0012	|	SJB0017	SJB0017	SJB009	SJB001	SJB0016	|	SJB0014	SJB0013	SJB0015	SJB0015	SJB001	|
CLS5H	|	SJB0012	SJB006	SJB0010	SJB0010	SJB008	|	SJB007	SJB007	SJB002	SJB002	SJB006	|	SJB003	SJB007	SJB009	SJB005	SJB005	|	SJB009	SJB004	SJB004	SJB001	SJB001	|	SJB0011	SJB004	SJB002	SJB001	SJB0011	|	SJB003	SJB008	SJB001	SJB004	SJB009	|

TEACHER

THC001	|	#####	#####	CLS4A	CLS3H	CLS3H	|	CLS3H	CLS3C	CLS3C	CLS4G	CLS4A	|	CLS3H	CLS3H	CLS4A	#####	#####	|	#####	CLS4G	CLS2I	CLS2I	CLS2I	|	CLS2I	#####	#####	CLS4A	#####	|	CLS2I	CLS2I	CLS5G	CLS5G	CLS3H	|
THC0010	|	CLS5H	#####	CLS1A	#####	CLS2C	|	CLS3A	CLS3H	CLS4H	#####	CLS2I	|	CLS1C	CLS4C	CLS4D	#####	CLS2B	|	CLS1D	CLS3D	CLS3C	CLS4A	CLS5G	|	CLS2A	CLS1B	CLS4B	CLS4G	#####	|	#####	CLS3B	CLS5F	#####	#####	|
THC0011	|	CLS1A	CLS1A	#####	#####	CLS4G	|	CLS4G	#####	CLS4A	CLS4A	#####	|	CLS2A	CLS2A	CLS3A	CLS3A	#####	|	#####	CLS4A	CLS4A	#####	#####	|	#####	CLS2A	CLS2A	CLS1A	CLS1A	|	#####	CLS3A	CLS4G	CLS4G	CLS3A	|
THC0012	|	CLS3C	CLS3C	CLS5G	CLS5G	CLS3D	|	CLS3D	CLS3A	CLS3A	CLS3C	CLS4D	|	CLS3A	#####	CLS4C	CLS4C	#####	|	CLS4H	CLS4C	CLS3D	CLS4D	#####	|	CLS4H	CLS4D	#####	#####	#####	|	CLS4H	CLS5G	#####	#####	#####	|
THC0013	|	CLS3H	CLS3H	CLS4G	CLS4G	CLS1B	|	CLS1B	CLS3B	CLS3B	CLS3B	CLS3B	|	CLS5G	CLS4G	CLS4G	CLS5H	CLS5H	|	#####	#####	#####	#####	CLS4G	|	#####	#####	CLS4G	CLS3B	CLS5G	|	#####	#####	CLS4A	CLS4A	#####	|
THC0014	|	CLS4G	CLS5H	CLS1B	CLS1B	CLS5G	|	CLS5G	CLS1B	CLS1B	#####	CLS5H	|	#####	#####	#####	CLS4G	CLS4G	|	#####	CLS5H	CLS5H	CLS5G	CLS4A	|	CLS4A	CLS5H	CLS1B	CLS1B	CLS4A	|	#####	#####	#####	CLS5H	#####	|
THC0015	|	CLS4A	CLS4A	CLS5H	CLS5H	CLS2B	|	#####	#####	#####	CLS1C	CLS1C	|	#####	CLS1B	CLS1B	#####	CLS5G	|	CLS5G	#####	CLS2C	CLS2C	CLS2B	|	#####	CLS3B	CLS3B	CLS3C	CLS3C	|	CLS5G	CLS4A	CLS3B	CLS3C	#####	|
THC0016	|	CLS1B	CLS1B	#####	CLS4A	CLS4A	|	CLS5F	CLS5F	CLS5F	CLS1B	CLS1B	|	CLS5H	CLS2B	CLS2B	CLS5F	CLS5F	|	#####	#####	#####	CLS5H	CLS5H	|	#####	#####	#####	CLS5H	#####	|	CLS5H	CLS5F	CLS5H	CLS1B	CLS1B	|
THC0017	|	#####	CLS5G	CLS2B	CLS2B	#####	|	CLS4A	CLS4A	CLS5H	CLS5H	#####	|	CLS4A	CLS4A	CLS1D	CLS1C	CLS1C	|	CLS4A	CLS5G	CLS5G	#####	#####	|	CLS2B	#####	CLS5H	#####	CLS1C	|	CLS1D	#####	#####	CLS1D	CLS4A	|
THC0018	|	CLS5F	CLS5F	#####	#####	#####	|	#####	#####	#####	CLS5G	CLS5G	|	CLS3B	CLS3B	CLS5H	CLS4A	CLS4A	|	CLS5H	CLS5F	CLS2B	CLS2B	CLS3B	|	CLS1D	CLS1D	CLS5G	#####	CLS1D	|	CLS4A	#####	CLS2B	#####	CLS5H	|
THC0019	|	CLS3B	CLS3B	CLS3B	#####	CLS1D	|	CLS1D	CLS5G	CLS5G	#####	#####	|	#####	#####	CLS5G	CLS5G	CLS3B	|	CLS2B	CLS2B	CLS3B	CLS3B	#####	|	CLS5G	CLS5G	#####	CLS5G	CLS3A	|	CLS2B	CLS2B	CLS3A	#####	CLS5G	|
THC002	|	#####	#####	#####	#####	#####	|	#####	CLS4G	CLS2I	CLS2I	#####	|	#####	CLS3A	CLS2A	CLS2A	#####	|	CLS4G	CLS3A	CLS3A	CLS3H	CLS1B	|	CLS1B	CLS1A	CLS1A	CLS2A	CLS4G	|	CLS3H	CLS3H	CLS1B	CLS2I	CLS1A	|
THC0020	|	CLS2C	CLS2C	#####	#####	#####	|	CLS3B	#####	CLS4B	CLS4B	CLS4H	|	CLS4H	CLS3C	CLS3C	#####	CLS2C	|	CLS3B	CLS3B	#####	#####	CLS3D	|	CLS3C	#####	CLS3D	CLS3D	CLS4B	|	CLS4C	CLS4C	CLS4H	#####	CLS4C	|
THC0021	|	#####	#####	CLS1D	CLS1D	CLS5F	|	CLS1E	CLS1E	#####	#####	#####	|	CLS2C	CLS2C	CLS3B	CLS3B	#####	|	CLS5F	CLS1D	CLS1D	CLS1D	CLS1D	|	CLS3B	CLS2B	CLS2B	CLS2B	CLS2B	|	CLS5F	#####	#####	CLS2B	CLS2B	|
THC0022	|	CLS1D	CLS1D	CLS4B	#####	CLS1C	|	CLS1C	CLS4C	CLS4C	#####	CLS2B	|	CLS2B	CLS5F	CLS5F	#####	#####	|	#####	#####	#####	#####	CLS5F	|	CLS4B	CLS4B	CLS2C	CLS2C	CLS5F	|	CLS3C	CLS3C	CLS4B	CLS4B	CLS3C	|
THC0023	|	CLS2B	CLS2B	#####	#####	CLS3C	|	#####	#####	#####	CLS5F	CLS4B	|	CLS1D	CLS1D	CLS3D	CLS3D	CLS4H	|	CLS4C	CLS4B	CLS1C	CLS1C	CLS4H	|	CLS5F	CLS3C	#####	CLS4C	#####	|	CLS2C	#####	CLS4D	CLS4D	CLS2C	|
THC0024	|	CLS4D	CLS4D	#####	CLS4B	CLS4B	|	CLS2B	CLS2B	#####	CLS1D	CLS1D	|	CLS3D	CLS3D	#####	CLS1F	CLS1F	|	CLS4B	CLS1E	CLS1E	#####	CLS1C	|	#####	#####	#####	CLS4B	#####	|	CLS2D	CLS1C	CLS2C	CLS2C	CLS2D	|
THC0025	|	CLS4C	CLS4C	CLS4H	CLS4H	#####	|	CLS4C	CLS1D	CLS1D	CLS4H	CLS5F	|	CLS5F	#####	CLS4B	CLS4B	CLS1E	|	CLS1E	#####	CLS4B	CLS4B	#####	|	#####	CLS5F	CLS5F	#####	#####	|	CLS4B	CLS4B	#####	CLS5F	CLS5F	|
THC0026	|	CLS1C	CLS1C	CLS3C	CLS3C	CLS4C	|	CLS3C	CLS2C	CLS2C	CLS4C	CLS3C	|	CLS3C	CLS1C	CLS1C	CLS1D	CLS1D	|	#####	#####	#####	CLS3C	CLS3C	|	#####	#####	#####	#####	#####	|	#####	CLS1D	CLS1D	CLS1C	CLS1C	|
THC0027	|	#####	#####	CLS4C	CLS4C	CLS4H	|	CLS4H	CLS3D	CLS3D	CLS2C	#####	|	CLS4C	CLS4H	#####	CLS3C	CLS3C	|	#####	#####	#####	#####	CLS2C	|	CLS1C	CLS1C	CLS3C	CLS4D	CLS4D	|	CLS3D	CLS2C	CLS1C	CLS3D	CLS3D	|
